Product Number,Product Name,Status
905.108.27,,TRUE
803.528.85,,FALSE
002.676.07,,TRUE
604.803.94,,TRUE
104.397.74,,FALSE
903.362.39,,FALSE
504.429.63,,FALSE
003.525.73,,TRUE
803.384.27,,TRUE
502.996.15,,FALSE
604.618.90,,TRUE
703.918.73,,TRUE
701.686.18,,TRUE
802.883.66,,FALSE
503.538.91,,TRUE
304.544.57,,TRUE
503.628.76,,TRUE
504.305.16,,TRUE
604.343.21,,FALSE
BERGTUNGA,,TRUE
802.948.57,,TRUE
392.975.09,,FALSE
702.339.68,,FALSE
303.513.60,,TRUE
903.513.57,,TRUE
503.513.59,,TRUE
803.487.18,,FALSE
802.458.43,,TRUE
402.459.63,,TRUE
903.526.82,,TRUE
202.936.05,,TRUE
202.998.86,,TRUE
302.198.94,,TRUE
903.391.72,,TRUE
403.458.30,,TRUE
903.236.18,,TRUE
703.236.19,,TRUE
403.343.13,,TRUE
302.427.38,,FALSE
802.564.50,,FALSE
702.894.94,,FALSE
504.073.61,,TRUE
404.016.04,,FALSE
504.073.04,,TRUE
504.073.04-1,,FALSE
504.073.04-2,,FALSE
504.073.04-3,,FALSE
103.735.89,,TRUE
801.652.33,,TRUE
402.651.64,,TRUE
703.361.03,,FALSE
103.363.61,,FALSE
202.666.83,,TRUE
503.461.55-2,,FALSE
503.461.55-1,,FALSE
202.797.32,,TRUE
803.944.80,,FALSE
304.372.41-1,,FALSE
304.372.41-2,,FALSE
304.372.41-3,,FALSE
702.169.35,,FALSE
492.178.09,,FALSE
392.178.24,,FALSE
292.178.48,,FALSE
102.889.54,,FALSE
403.332.81,,TRUE
502.448.83,,FALSE
504.219.13,,FALSE
902.385.35,,TRUE
502.385.42,,TRUE
204.324.80,,TRUE
403.403.90,,TRUE
392.990.18,,TRUE
403.513.50,,TRUE
904.035.06,,TRUE
404.890.22,,TRUE
001.695.60-1,,FALSE
001.695.60-2,,TRUE
001.762.35,,FALSE
001.831.94-1,,FALSE
001.831.94-2,,FALSE
002.569.01,,FALSE
003.177.25,,FALSE
003.298.89-1,,FALSE
003.298.89-2,,FALSE
003.361.87,,FALSE
003.411.36-1,,FALSE
003.411.36-2,,FALSE
003.469.35-1,,FALSE
003.469.35-2,,FALSE
003.498.54-1,,FALSE
003.498.54-2,,FALSE
003.498.54-3,,FALSE
003.498.54-4,,FALSE
003.498.54-5,,FALSE
003.525.73-1,,FALSE
003.525.73-2,,FALSE
003.528.94-1,,FALSE
003.528.94-2,,FALSE
003.546.66-1,,FALSE
003.546.66-2,,FALSE
003.667.92-1,,FALSE
003.667.92-2,,FALSE
003.667.92-3,,FALSE
003.667.92-4,,FALSE
003.725.28-1,,FALSE
003.725.28-2,,FALSE
003.786.86-1,,FALSE
003.786.86-2,,FALSE
003.867.47,,FALSE
003.869.12,,FALSE
003.962.18-1,,FALSE
003.962.18-2,,FALSE
004.050.91-1,,FALSE
004.050.91-2,,FALSE
004.142.60,,FALSE
004.150.71-1,,FALSE
004.150.71-2,,TRUE
004.243.63-1,,FALSE
004.243.63-2,,FALSE
004.395.62-1,,FALSE
004.395.62-2,,FALSE
004.569.24-1,,FALSE
004.569.24-2,,FALSE
004.646.79-1,,FALSE
004.646.79-2,,FALSE
004.646.79-3,,FALSE
004.667.63-1,,TRUE
004.667.63-2,,FALSE
004.717.26-2,,FALSE
004.901.45-1,,FALSE
004.901.45-2,,FALSE
004.901.45-3,,FALSE
094.082.45-1,,FALSE
094.082.45-2,,FALSE
094.082.45-3,,FALSE
101.813.16,,FALSE
102.559.01-1,,FALSE
102.559.01-2,,FALSE
102.892.94-1,,FALSE
102.892.94-2,,FALSE
103.363.61-1,,FALSE
103.363.61-2,,FALSE
103.363.61-3,,FALSE
103.363.61-4,,FALSE
103.494.53-1,,FALSE
103.494.53-2,,FALSE
103.546.23-2,,FALSE
103.546.61-1,,FALSE
103.546.61-2,,FALSE
103.553.97-1,,FALSE
103.553.97-2,,FALSE
103.553.97-3,,FALSE
103.554.15-1,,FALSE
103.554.15-2,,FALSE
103.556.94-1,,FALSE
103.556.94-2,,FALSE
103.556.94-3,,FALSE
103.611.38-1,,FALSE
103.611.38-2,,FALSE
103.675.45,,FALSE
103.786.81-1,,FALSE
103.786.81-2,,FALSE
103.786.81-3,,FALSE
103.886.18-1,,FALSE
103.886.18-2,,FALSE
103.910.60-1,,FALSE
103.910.60-2,,FALSE
103.914.56-1,,FALSE
103.914.56-2,,FALSE
103.914.56-3,,FALSE
103.964.25-1,,FALSE
103.964.25-2,,FALSE
103.976.70-1,,FALSE
104.048.02-1,,FALSE
104.072.97-2,,FALSE
104.349.98-2,,FALSE
104.349.98-3,,FALSE
104.372.37-1,,FALSE
104.372.37-2,,TRUE
803.528.85-1,,FALSE
803.528.85-2,,FALSE
104.569.09-1,,FALSE
104.569.09-2,,FALSE
104.569.09-3,,FALSE
104.687.66,,FALSE
111.111.11-1,,FALSE
111.111.11-2,,FALSE
201.672.06-1,,FALSE
201.672.06-2,,FALSE
202.293.36,,FALSE
202.454.26-1,,FALSE
202.454.26-2,,FALSE
202.528.79,,FALSE
202.749.23-1,,FALSE
202.749.23-2,,FALSE
202.887.55,,FALSE
202.945.20-1,,FALSE
202.945.20-2,,FALSE
203.223.25,,FALSE
203.295.05,,FALSE
203.469.39-2,,FALSE
203.469.63-1,,FALSE
203.469.63-2,,FALSE
204.397.59-2,,FALSE
204.397.59-1,,FALSE
203.542.84-1,,FALSE
203.542.84-2,,FALSE
203.546.46-1,,FALSE
203.546.46-2,,FALSE
203.546.70-1,,FALSE
203.546.70-2,,FALSE
203.546.70-3,,FALSE
203.555.37-1,,FALSE
203.555.37-2,,FALSE
203.578.95-1,,FALSE
203.578.95-2,,FALSE
203.655.22-1,,FALSE
203.655.22-2,,FALSE
203.655.22-3,,FALSE
203.659.42-1,,FALSE
203.659.42-2,,FALSE
203.661.16-1,,FALSE
203.661.16-2,,FALSE
203.688.32-1,,FALSE
203.688.32-2,,FALSE
203.861.00,,FALSE
